Item Name,Parent Item,Child Type,Choice Group,Selection Rule,Execution Type,Display Type,Notes,Test Status
TATER TOTS WITH CHEESE CURDS,,,,,CHAFER HOT,,,
FALAFEL,,,,,CHAFER HOT,,,
PRETZEL BITES,,,,,CHAFER HOT,,,
SHAKSHUKA,,,,,CHAFER HOT,,,
SHASHLIK,,,,,CHAFER HOT,,,
ANCHO CHILI BEEF TACOS,,,,,CHAFER HOT,,,
CHICKEN WING LOLLIPOPS,,,,,CHAFER HOT,,,
POLENTA FRIED OYSTERS,,,,,CHAFER HOT,,,
CHICAGO HOT DOG SLIDERS,,,,,CHAFER HOT,,,
BAHN MI,,,,,CHAFER HOT,,,
MOULES FRITES,,,,,CHAFER HOT,,,
NONNA'S MEATBALLS,,,,,CHAFER HOT,,,
