Item Name,Parent Item,Child Type,Choice Group,Selection Rule,Execution Type,Display Type,Notes,Test Status
KOREAN BBQ PORK BELLY,,,,,CHAFER HOT,,,
OPEN-FACED CUBANO,,,,,CHAFER HOT,,,
BLM IN T,,,,,COLD DISPLAY,,,
MINI BANH MI,,,,,CHAFER HOT,,,
CANDIED PORK BELLY BURNT ENDS,,,,,CHAFER HOT,,,
ROASTED PORK SPRING ROLLS,,,,,CHAFER HOT,,,
MINI CUBAN X3,,,,,CHAFER HOT,,,
PROSCIUTTO FLATBREAD SQUARES,,,,,COLD DISPLAY,,,
CAROLINA PULLED PORK,,,,,CHAFER HOT,,,
SWEET & SOUR PORK BELLY,,,,,CHAFER HOT,,,
TINY TINGA TACO,,,,,CHAFER HOT,,,
"PANCETTA, CHIVE, & SHARP PROVOLONE",,,,,CHAFER HOT,,,
FIGS IN A BLANKET,,,,,CHAFER HOT,,,
CANDIED BACON SPOON,,,,,CHAFER HOT,,,
