Item Name,Parent Item,Child Type,Choice Group,Selection Rule,Execution Type,Display Type,Notes,Test Status
MINI CHICKEN QUESADILLAS,,,,,CHAFER HOT,,,
PETITE GINGER CHICKEN KABOBS,,,,,,,,
SESAME-CRUSTED CHICKEN,,,,,,,,
HIBACHI CHICKEN,,,,,CHAFER HOT,,,
MINI TURKEY KABOBS,,,,,,,,
SRIRACHA CHICKEN MEATBALLS,,,,,,,,
CHICKEN MANGO QUESADILLAS,,,,,CHAFER HOT,,,
CHICKEN & WAFFLES,,,,,CHAFER HOT,,,
PISTACHIO CHICKEN TENDERS,,,,,CHAFER HOT,,,
KOREAN FRIED CHICKEN,,,,,CHAFER HOT,,,
CHICKEN ACROPOLIS,,,,,CHAFER HOT,,,
PEKING DUCK ROLLS,,,,,,,,
