Item Name,Parent Item,Child Type,Choice Group,Selection Rule,Execution Type,Display Type,Notes,Test Status
MINI JUMBO LUMP CRAB CAKES,,,,,CHAFER HOT,,,
ALBACORE TUNA,,,,,CHAFER HOT,,,
SESAME PEEKYTOE CRAB BALLS,,,,,CHAFER HOT,,,
CITRUS & VODKA HOUSE-CURED SCOTTISH SALMON,,,,,COLD DISPLAY,,,
BACON-WRAPPED SCALLOPS,,,,,CHAFER HOT,,,
AHI TUNA TARTARE,,,,,COLD DISPLAY,,,
COCONUT SHRIMP,,,,,CHAFER HOT,,,
LOUISIANA LOBSTER HUSHPUPPIES,,,,,CHAFER HOT,,,
FIRECRACKER SHRIMP ON BAMBOO,,,,,CHAFER HOT,,,
LOBSTER QUESADILLA,,,,,CHAFER HOT,,,
TUNA & AVOCADO POKE,,,,,COLD DISPLAY,,,
POTATO WRAPPED SHRIMP,,,,,CHAFER HOT,,,
