Item Name,Parent Item,Child Type,Choice Group,Selection Rule,Execution Type,Display Type,Notes,Test Status
SPANAKOPITA,,,,,CHAFER HOT,,,
FRIED BRUSSEL SPROUTS,,,,,CHAFER HOT,,,
EDAMAME QUESADILLA,,,,,CHAFER HOT,,,
VEGETABLE SPRING ROLLS,,,,,CHAFER HOT,,,
MINI VEGETABLE INDIAN SAMOSAS,,,,,CHAFER HOT,,,
MINI VEGETABLE SKEWER,,,,,,,,
STUFFED MUSHROOMS,,,,,CHAFER HOT,,,
EGGPLANT PROVENCAL,,,,,CHAFER HOT,,,
BABY BELLAS,,,,,CHAFER HOT,,,
GREEK SALAD KABOB,,,,,COLD DISPLAY,,,
MEXICAN SWEET CORN SHOOTER,,,,,COLD DISPLAY,,,
VEGETABLE EMPANADA,,,,,CHAFER HOT,,,
FIG & GOAT CHEESE CROSTINI,,,,,COLD DISPLAY,,,
RASPBERRY & BRIE,,,,,CHAFER HOT,,,
FRESH STRAWBERRIES,,,,,COLD DISPLAY,,,
