Item Name,Parent Item,Child Type,Choice Group,Selection Rule,Execution Type,Display Type,Notes,Test Status
ROASTED SWEET POTATO WEDGES,,,,,CHAFER HOT,BUFFET,,
TRIO OF ROASTED POTATOES,,,,,CHAFER HOT,BUFFET,,
FARMERS SMASHED POTATOES,,,,,CHAFER HOT,BUFFET,,
CONFETTI BROWN & WILD RICE,,,,,CHAFER HOT,BUFFET,,
MASHED POTATOES,,,,,CHAFER HOT,BUFFET,,
CLASSIC,MASHED POTATOES,FLAVOR,FLAVOR,SELECT 1,CHAFER HOT,BUFFET,,
BUTTERMILK,MASHED POTATOES,FLAVOR,FLAVOR,SELECT 1,CHAFER HOT,BUFFET,,
ROASTED GARLIC,MASHED POTATOES,FLAVOR,FLAVOR,SELECT 1,CHAFER HOT,BUFFET,,
BACON CHIVE & CHEDDAR,MASHED POTATOES,FLAVOR,FLAVOR,SELECT 1,CHAFER HOT,BUFFET,,
PARMESAN OLIVE OIL & GARLIC,MASHED POTATOES,FLAVOR,FLAVOR,SELECT 1,CHAFER HOT,BUFFET,,
SOUR CREAM & EXTRA BUTTER,MASHED POTATOES,FLAVOR,FLAVOR,SELECT 1,CHAFER HOT,BUFFET,,
CAULIFLOWER & ONION,MASHED POTATOES,FLAVOR,FLAVOR,SELECT 1,CHAFER HOT,BUFFET,,
BASMATI RICE,,,,,CHAFER HOT,BUFFET,,
YELLOW FRIED RICE,,,,,CHAFER HOT,BUFFET,,
WILD MUSHROOM RISOTTO,,,,,CHAFER HOT,BUFFET,,
