Item Name,Parent Item,Child Type,Choice Group,Selection Rule,Execution Type,Display Type,Notes,Test Status
ROASTED BRUSSELS SPROUTS,,,,,CHAFER HOT,BUFFET,,
GINGER HONEY CARROT PEGS,,,,,CHAFER HOT,BUFFET,,
SAUTEED STRING BEANS,,,,,CHAFER HOT,BUFFET,,
SAUTEED BABY BOK CHOY,,,,,CHAFER HOT,BUFFET,,
GRILLED ASPARAGUS (WITH PARMESAN TOMATOES),,,,,CHAFER HOT,BUFFET,,
HARICOTS VERTS ALMONDINE,,,,,CHAFER HOT,BUFFET,,
RATATOUILLE,,,,,CHAFER HOT,BUFFET,,
ROASTED ASSORTED VEGETABLES,,,,,CHAFER HOT,BUFFET,,
MARINATED GRILLED VEGETABLES,,,,,CHAFER HOT,BUFFET,,
ROASTED BABY BRUSSELS SPROUTS,,,,,CHAFER HOT,BUFFET,,
GRILLED ASPARAGUS (WITH LEMON),,,,,CHAFER HOT,BUFFET,,
