Item Name,Parent Item,Child Type,Choice Group,Selection Rule,Execution Type,Display Type,Notes,Test Status
ARUGULA & FENNEL,,,,,COLD DISPLAY,BUFFET,,
GREEK GODDESS SALAD,,,,,COLD DISPLAY,BUFFET,,
ORIENTAL SALAD,,,,,COLD DISPLAY,BUFFET,,
ANCIENT GRAIN SALAD,,,,,COLD DISPLAY,BUFFET,,
THAI NOODLE SALAD,,,,,COLD DISPLAY,BUFFET,,
BLACK KALE SALAD,,,,,COLD DISPLAY,BUFFET,,
4 BEAN SALAD,,,,,COLD DISPLAY,BUFFET,,
BAKED POTATO SALAD,,,,,COLD DISPLAY,BUFFET,,
BRUSCHETTA PASTA,,,,,COLD DISPLAY,BUFFET,,
GEMELLI TUSCAN PASTA SALAD,,,,,COLD DISPLAY,BUFFET,,
ISRAELI COUSCOUS,,,,,COLD DISPLAY,BUFFET,,
DRESSING CHOICES,,,DRESSING,SELECT 1,COLD DISPLAY,BUFFET,APPLIES TO ALL SALADS,
BALSAMIC,DRESSING CHOICES,choice,DRESSING,SELECT 1,COLD DISPLAY,,,
RASPBERRY,DRESSING CHOICES,choice,DRESSING,SELECT 1,COLD DISPLAY,,,
RANCH,DRESSING CHOICES,choice,DRESSING,SELECT 1,COLD DISPLAY,,,
BLEU CHEESE,DRESSING CHOICES,choice,DRESSING,SELECT 1,COLD DISPLAY,,,
ITALIAN,DRESSING CHOICES,choice,DRESSING,SELECT 1,COLD DISPLAY,,,
GREEN GODDESS,DRESSING CHOICES,choice,DRESSING,SELECT 1,COLD DISPLAY,,,
DIJONAISE,DRESSING CHOICES,choice,DRESSING,SELECT 1,COLD DISPLAY,,,
CITRUS,DRESSING CHOICES,choice,DRESSING,SELECT 1,COLD DISPLAY,,,
WHOLE GRAIN MUSTARD,DRESSING CHOICES,choice,DRESSING,SELECT 1,COLD DISPLAY,,,
PARMESAN PEPPERCORN,DRESSING CHOICES,choice,DRESSING,SELECT 1,COLD DISPLAY,,,
